item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	optional-payment-type-exclusion	merchant-shipping-group	status	maximum-retail-price
Compatible for OnePlus 10R LCD (No Fingerprint Support) Display+Touch Screen Combo Folder	NOTICE: If Any Customer Will Try To Do Any Type Of Fraud/cheating In Terms Of Refund Or Replacement Under The Amazon Guarantee Program Then On Prima Facia Evidence Our Company Will Take Legal Action Against Such Customers And Report Them Under The Apple iPhoneoco Section 415/420. Violation Of Apple iPhoneoco Section 415/420 Is Punishable By Imprisonment And A Monetary Fine Decided By The Court Of Law. Processor: 1. Replacement Screen + Frame + Touchpad Digitizer Assembly . 2. Replace The Old, Broken, Cracked, Damaged One We Strongly Recommend Servicing Under Expert Technical Supervision. Self-installation Without The RequiRedmi Skills Can Be Dangerous To The Screen/device. Do Not Remove The Sticker Till The Complete Satisfaction, Sticker Removal Means Acceptance Of The Product. When You Are Certain That Everything Is Working Fine Then Your Technician Can Install it Permanently. it's Important To Keep The item In its Original Condition And Don't Remove The Sticker. We Do Not Offer For Manufacturing Defects But Not For Any Physical Damage Done By You Or Your Technician During Installation. Got A Broken Display In Your Phone? Buy The Complete Display With Touch Screen For Your Phone And Replace The Broken, Cracked, Or ScraTecnohed Screen In Your Handset. Fit With High Manufacturing Quality. With The Least Technical Know-how RequiRedmi, it Is Easiest To Replace The Display For Your Handset. The Replacement Combo Display With Touch For Your Phone Comes With A Manufacturing Quality And The ShApple iPhoneping Is Done In SecuRedmi Packing To Make Sure You Get The Product In Shape.	0919FQ4YJ9A	1+10RLCD	2428	97	2025-09-19 19:57:09 IST		y	1			11				B0FRSYKD46						B0FRSYKD46			0	DEFAULT		Migrated Template	Active	5699.0
Compatible for OnePlus 7T (No Fingerprint Support) LCD Display+Touch Screen Combo Folder	NOTICE: If Any Customer Will Try To Do Any Type Of Fraud/cheating In Terms Of Refund Or Replacement Under The Amazon Guarantee Program Then On Prima Facia Evidence Our Company Will Take Legal Action Against Such Customers And Report Them Under The Apple iPhoneoco Section 415/420. Violation Of Apple iPhoneoco Section 415/420 Is Punishable By Imprisonment And A Monetary Fine Decided By The Court Of Law. Processor: 1. Replacement Screen + Frame + Touchpad Digitizer Assembly . 2. Replace The Old, Broken, Cracked, Damaged One We Strongly Recommend Servicing Under Expert Technical Supervision. Self-installation Without The RequiRedmi Skills Can Be Dangerous To The Screen/device. Do Not Remove The Sticker Till The Complete Satisfaction, Sticker Removal Means Acceptance Of The Product. When You Are Certain That Everything Is Working Fine Then Your Technician Can Install it Permanently. it's Important To Keep The item In its Original Condition And Don't Remove The Sticker. We Do Not Offer For Manufacturing Defects But Not For Any Physical Damage Done By You Or Your Technician During Installation. Got A Broken Display In Your Phone? Buy The Complete Display With Touch Screen For Your Phone And Replace The Broken, Cracked, Or ScraTecnohed Screen In Your Handset. Fit With High Manufacturing Quality. With The Least Technical Know-how RequiRedmi, it Is Easiest To Replace The Display For Your Handset. The Replacement Combo Display With Touch For Your Phone Comes With A Manufacturing Quality And The ShApple iPhoneping Is Done In SecuRedmi Packing To Make Sure You Get The Product In Shape.	0919FPVFMB8	1+7TLCD	2850	100	2025-09-19 19:57:09 IST		y	1			11				B0FRSXJN3R						B0FRSXJN3R			0	DEFAULT		Migrated Template	Active	4999.0
Compatible for OnePlus 9Rt LCD (No Fingerprint Support) Display+Touch Screen Combo Folder	NOTICE: If Any Customer Will Try To Do Any Type Of Fraud/cheating In Terms Of Refund Or Replacement Under The Amazon Guarantee Program Then On Prima Facia Evidence Our Company Will Take Legal Action Against Such Customers And Report Them Under The Apple iPhoneoco Section 415/420. Violation Of Apple iPhoneoco Section 415/420 Is Punishable By Imprisonment And A Monetary Fine Decided By The Court Of Law. Processor: 1. Replacement Screen + Frame + Touchpad Digitizer Assembly . 2. Replace The Old, Broken, Cracked, Damaged One We Strongly Recommend Servicing Under Expert Technical Supervision. Self-installation Without The RequiRedmi Skills Can Be Dangerous To The Screen/device. Do Not Remove The Sticker Till The Complete Satisfaction, Sticker Removal Means Acceptance Of The Product. When You Are Certain That Everything Is Working Fine Then Your Technician Can Install it Permanently. it's Important To Keep The item In its Original Condition And Don't Remove The Sticker. We Do Not Offer For Manufacturing Defects But Not For Any Physical Damage Done By You Or Your Technician During Installation. Got A Broken Display In Your Phone? Buy The Complete Display With Touch Screen For Your Phone And Replace The Broken, Cracked, Or ScraTecnohed Screen In Your Handset. Fit With High Manufacturing Quality. With The Least Technical Know-how RequiRedmi, it Is Easiest To Replace The Display For Your Handset. The Replacement Combo Display With Touch For Your Phone Comes With A Manufacturing Quality And The ShApple iPhoneping Is Done In SecuRedmi Packing To Make Sure You Get The Product In Shape.	0919FQ0FW1X	1+9RtLCD	2498	2	2025-09-19 19:57:09 IST		y	1			11				B0FRSY7SV1						B0FRSY7SV1			0	DEFAULT		Migrated Template	Active	5199.0
Compatible for Samsung Galaxy A13 (4G) LCD Display+Touch Screen Combo Folder	NOTICE: If Any Customer Will Try To Do Any Type Of Fraud/cheating In Terms Of Refund Or Replacement Under The Amazon Guarantee Program Then On Prima Facia Evidence Our Company Will Take Legal Action Against Such Customers And Report Them Under The Ipc Section 415/420. Violation Of Ipc Section 415/420 Is Punishable By Imprisonment And A Monetary Fine Decided By The Court Of Law. Processor: 1. Replacement Screen + Frame + Touchpad Digitizer Assembly . 2. Replace The Old, Broken, Cracked, Damaged One We Strongly Recommend Servicing Under Expert Technical Supervision. Self-installation Without The Required Skills Can Be Dangerous To The Screen/device. Do Not Remove The Sticker Till The Complete Satisfaction, Sticker Removal Means Acceptance Of The Product. When You Are Certain That Everything Is Working Fine Then Your Technician Can Install It Permanently. It's Important To Keep The Item In Its Original Condition And Don't Remove The Sticker. We Do Not Offer For Manufacturing Defects But Not For Any Physical Damage Done By You Or Your Technician During Installation. Got A Broken Display In Your Phone? Buy The Complete Display With Touch Screen For Your Phone And Replace The Broken, Cracked, Or Scratched Screen In Your Handset. Fit With High Manufacturing Quality. With The Least Technical Know-how Required, It Is Easiest To Replace The Display For Your Handset. The Replacement Combo Display With Touch For Your Phone Comes With A Manufacturing Quality And The Shipping Is Done In Secured Packing To Make Sure You Get The Product In Shape.	0913F7YKTE4	79-BD48-06Y2	1699	98	2025-09-13 16:36:19 IST		y	1			11				B0FR26RPMQ						B0FR26RPMQ			0	DEFAULT		Migrated Template	Active	2999.0
Compatible for Samsung Galaxy A02s LCD Display+Touch Screen Combo Folder	NOTICE: If Any Customer Will Try To Do Any Type Of Fraud/cheating In Terms Of Refund Or Replacement Under The Amazon Guarantee Program Then On Prima Facia Evidence Our Company Will Take Legal Action Against Such Customers And Report Them Under The Apple iPhoneoco Section 415/420. Violation Of Apple iPhoneoco Section 415/420 Is Punishable By Imprisonment And A Monetary Fine Decided By The Court Of Law. Processor: 1. Replacement Screen + Frame + Touchpad Digitizer Assembly . 2. Replace The Old, Broken, Cracked, Damaged One We Strongly Recommend Servicing Under Expert Technical Supervision. Self-installation Without The RequiRedmi Skills Can Be Dangerous To The Screen/device. Do Not Remove The Sticker Till The Complete Satisfaction, Sticker Removal Means Acceptance Of The Product. When You Are Certain That Everything Is Working Fine Then Your Technician Can Install it Permanently. it's Important To Keep The item In its Original Condition And Don't Remove The Sticker. We Do Not Offer For Manufacturing Defects But Not For Any Physical Damage Done By You Or Your Technician During Installation. Got A Broken Display In Your Phone? Buy The Complete Display With Touch Screen For Your Phone And Replace The Broken, Cracked, Or ScraTecnohed Screen In Your Handset. Fit With High Manufacturing Quality. With The Least Technical Know-how RequiRedmi, it Is Easiest To Replace The Display For Your Handset. The Replacement Combo Display With Touch For Your Phone Comes With A Manufacturing Quality And The ShApple iPhoneping Is Done In SecuRedmi Packing To Make Sure You Get The Product In Shape.	0919FPVFVDL	A02S	1862	100	2025-09-19 19:57:09 IST		y	1			11				B0FRSXQQT5						B0FRSXQQT5			0	DEFAULT		Migrated Template	Active	2999.0
Compatible for Samsung Galaxy A03 Core LCD Display+Touch Screen Combo Folder	NOTICE: If Any Customer Will Try To Do Any Type Of Fraud/cheating In Terms Of Refund Or Replacement Under The Amazon Guarantee Program Then On Prima Facia Evidence Our Company Will Take Legal Action Against Such Customers And Report Them Under The Apple iPhoneoco Section 415/420. Violation Of Apple iPhoneoco Section 415/420 Is Punishable By Imprisonment And A Monetary Fine Decided By The Court Of Law. Processor: 1. Replacement Screen + Frame + Touchpad Digitizer Assembly . 2. Replace The Old, Broken, Cracked, Damaged One We Strongly Recommend Servicing Under Expert Technical Supervision. Self-installation Without The RequiRedmi Skills Can Be Dangerous To The Screen/device. Do Not Remove The Sticker Till The Complete Satisfaction, Sticker Removal Means Acceptance Of The Product. When You Are Certain That Everything Is Working Fine Then Your Technician Can Install it Permanently. it's Important To Keep The item In its Original Condition And Don't Remove The Sticker. We Do Not Offer For Manufacturing Defects But Not For Any Physical Damage Done By You Or Your Technician During Installation. Got A Broken Display In Your Phone? Buy The Complete Display With Touch Screen For Your Phone And Replace The Broken, Cracked, Or ScraTecnohed Screen In Your Handset. Fit With High Manufacturing Quality. With The Least Technical Know-how RequiRedmi, it Is Easiest To Replace The Display For Your Handset. The Replacement Combo Display With Touch For Your Phone Comes With A Manufacturing Quality And The ShApple iPhoneping Is Done In SecuRedmi Packing To Make Sure You Get The Product In Shape.	0919FPXQHXS	A03CORE	2069	100	2025-09-19 19:57:09 IST		y	1			11				B0FRSZGYLS						B0FRSZGYLS			0	DEFAULT		Migrated Template	Active	2999.0
Compatible for Samsung Galaxy A04 LCD Display+Touch Screen Combo Folder	NOTICE: If Any Customer Will Try To Do Any Type Of Fraud/cheating In Terms Of Refund Or Replacement Under The Amazon Guarantee Program Then On Prima Facia Evidence Our Company Will Take Legal Action Against Such Customers And Report Them Under The Apple iPhoneoco Section 415/420. Violation Of Apple iPhoneoco Section 415/420 Is Punishable By Imprisonment And A Monetary Fine Decided By The Court Of Law. Processor: 1. Replacement Screen + Frame + Touchpad Digitizer Assembly . 2. Replace The Old, Broken, Cracked, Damaged One We Strongly Recommend Servicing Under Expert Technical Supervision. Self-installation Without The RequiRedmi Skills Can Be Dangerous To The Screen/device. Do Not Remove The Sticker Till The Complete Satisfaction, Sticker Removal Means Acceptance Of The Product. When You Are Certain That Everything Is Working Fine Then Your Technician Can Install it Permanently. it's Important To Keep The item In its Original Condition And Don't Remove The Sticker. We Do Not Offer For Manufacturing Defects But Not For Any Physical Damage Done By You Or Your Technician During Installation. Got A Broken Display In Your Phone? Buy The Complete Display With Touch Screen For Your Phone And Replace The Broken, Cracked, Or ScraTecnohed Screen In Your Handset. Fit With High Manufacturing Quality. With The Least Technical Know-how RequiRedmi, it Is Easiest To Replace The Display For Your Handset. The Replacement Combo Display With Touch For Your Phone Comes With A Manufacturing Quality And The ShApple iPhoneping Is Done In SecuRedmi Packing To Make Sure You Get The Product In Shape.	0919FQ34GZB	A04	1966	100	2025-09-19 19:57:09 IST		y	1			11				B0FRSXK53B						B0FRSXK53B			0	DEFAULT		Migrated Template	Active	2999.0
Compatible for Samsung Galaxy A10s LCD Display+Touch Screen Combo Folder	NOTICE: If Any Customer Will Try To Do Any Type Of Fraud/cheating In Terms Of Refund Or Replacement Under The Amazon Guarantee Program Then On Prima Facia Evidence Our Company Will Take Legal Action Against Such Customers And Report Them Under The Apple iPhoneoco Section 415/420. Violation Of Apple iPhoneoco Section 415/420 Is Punishable By Imprisonment And A Monetary Fine Decided By The Court Of Law. Processor: 1. Replacement Screen + Frame + Touchpad Digitizer Assembly . 2. Replace The Old, Broken, Cracked, Damaged One We Strongly Recommend Servicing Under Expert Technical Supervision. Self-installation Without The RequiRedmi Skills Can Be Dangerous To The Screen/device. Do Not Remove The Sticker Till The Complete Satisfaction, Sticker Removal Means Acceptance Of The Product. When You Are Certain That Everything Is Working Fine Then Your Technician Can Install it Permanently. it's Important To Keep The item In its Original Condition And Don't Remove The Sticker. We Do Not Offer For Manufacturing Defects But Not For Any Physical Damage Done By You Or Your Technician During Installation. Got A Broken Display In Your Phone? Buy The Complete Display With Touch Screen For Your Phone And Replace The Broken, Cracked, Or ScraTecnohed Screen In Your Handset. Fit With High Manufacturing Quality. With The Least Technical Know-how RequiRedmi, it Is Easiest To Replace The Display For Your Handset. The Replacement Combo Display With Touch For Your Phone Comes With A Manufacturing Quality And The ShApple iPhoneping Is Done In SecuRedmi Packing To Make Sure You Get The Product In Shape.	0919FQ8TGEV	A10S	1966	100	2025-09-19 19:57:09 IST		y	1			11				B0FRSZS4CG						B0FRSZS4CG			0	DEFAULT		Migrated Template	Active	2999.0
Compatible for Samsung Galaxy A13 (5G) LCD Display+Touch Screen Combo Folder	NOTICE: If Any Customer Will Try To Do Any Type Of Fraud/cheating In Terms Of Refund Or Replacement Under The Amazon Guarantee Program Then On Prima Facia Evidence Our Company Will Take Legal Action Against Such Customers And Report Them Under The Apple iPhoneoco Section 415/420. Violation Of Apple iPhoneoco Section 415/420 Is Punishable By Imprisonment And A Monetary Fine Decided By The Court Of Law. Processor: 1. Replacement Screen + Frame + Touchpad Digitizer Assembly . 2. Replace The Old, Broken, Cracked, Damaged One We Strongly Recommend Servicing Under Expert Technical Supervision. Self-installation Without The RequiRedmi Skills Can Be Dangerous To The Screen/device. Do Not Remove The Sticker Till The Complete Satisfaction, Sticker Removal Means Acceptance Of The Product. When You Are Certain That Everything Is Working Fine Then Your Technician Can Install it Permanently. it's Important To Keep The item In its Original Condition And Don't Remove The Sticker. We Do Not Offer For Manufacturing Defects But Not For Any Physical Damage Done By You Or Your Technician During Installation. Got A Broken Display In Your Phone? Buy The Complete Display With Touch Screen For Your Phone And Replace The Broken, Cracked, Or ScraTecnohed Screen In Your Handset. Fit With High Manufacturing Quality. With The Least Technical Know-how RequiRedmi, it Is Easiest To Replace The Display For Your Handset. The Replacement Combo Display With Touch For Your Phone Comes With A Manufacturing Quality And The ShApple iPhoneping Is Done In SecuRedmi Packing To Make Sure You Get The Product In Shape.	0919FQ32HX8	A135G	2279	100	2025-09-19 19:57:09 IST		y	1			11				B0FRSXYXFZ						B0FRSXYXFZ			0	DEFAULT		Migrated Template	Active	4999.0
Compatible for Samsung Galaxy A20 LCD Display+Touch Screen Combo Folder	NOTICE: If Any Customer Will Try To Do Any Type Of Fraud/cheating In Terms Of Refund Or Replacement Under The Amazon Guarantee Program Then On Prima Facia Evidence Our Company Will Take Legal Action Against Such Customers And Report Them Under The Apple iPhoneoco Section 415/420. Violation Of Apple iPhoneoco Section 415/420 Is Punishable By Imprisonment And A Monetary Fine Decided By The Court Of Law. Processor: 1. Replacement Screen + Frame + Touchpad Digitizer Assembly . 2. Replace The Old, Broken, Cracked, Damaged One We Strongly Recommend Servicing Under Expert Technical Supervision. Self-installation Without The RequiRedmi Skills Can Be Dangerous To The Screen/device. Do Not Remove The Sticker Till The Complete Satisfaction, Sticker Removal Means Acceptance Of The Product. When You Are Certain That Everything Is Working Fine Then Your Technician Can Install it Permanently. it's Important To Keep The item In its Original Condition And Don't Remove The Sticker. We Do Not Offer For Manufacturing Defects But Not For Any Physical Damage Done By You Or Your Technician During Installation. Got A Broken Display In Your Phone? Buy The Complete Display With Touch Screen For Your Phone And Replace The Broken, Cracked, Or ScraTecnohed Screen In Your Handset. Fit With High Manufacturing Quality. With The Least Technical Know-how RequiRedmi, it Is Easiest To Replace The Display For Your Handset. The Replacement Combo Display With Touch For Your Phone Comes With A Manufacturing Quality And The ShApple iPhoneping Is Done In SecuRedmi Packing To Make Sure You Get The Product In Shape.	0919FPXM09C	A20	1886	100	2025-09-19 19:57:09 IST		y	1			11				B0FRSZ5L9Y						B0FRSZ5L9Y			0	DEFAULT		Migrated Template	Active	3799.0
