Date,Ordered Product Sales,Ordered Product Sales - B2B,Units Ordered,Units Ordered - B2B,Total Order Items,Total Order Items - B2B,Average Sales per Order Item,Average Sales per Order Item - B2B,Average Units per Order Item,Average Units per Order Item - B2B,Average Selling Price,Average Selling Price - B2B,Page Views - Mobile App,Page Views - Mobile APP - B2B,Page Views - Browser,Page Views - Browser - B2B,Page Views - Total,Page Views - Total - B2B,Sessions - Mobile App,Sessions - Mobile APP - B2B,Sessions - Browser,Sessions - Browser - B2B,Sessions - Total,Sessions - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Order Item Session Percentage,Order Item Session Percentage - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Average Offer Count,Average Parent Items,Units Refunded,Units Refunded – B2B,Refund Rate,Refund Rate – B2B,Feedback Received,Feedback Received – B2B,Negative Feedback Received,Negative Feedback Received – B2B,Received Negative Feedback Rate,Received Negative Feedback Rate – B2B,A-to-z Claims Granted,Claims Amount,A-to-z Claims Granted - B2B,Claims Amount - B2B,Shipped Product Sales,Shipped Product Sales - B2B,Units Shipped,Units Shipped - B2B,Orders Shipped,Orders Shipped - B2B
01/09/25,"₹1,495.00",₹0.00,5,0,5,0,₹299.00,₹0.00,1.00,0.00,₹299.00,₹0.00,61,0,6,0,67,0,38,0,5,0,43,0,94.64%,0.00%,11.63%,0.00%,11.63%,0.00%,38,37,0,0,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0,₹0.00,0,₹0.00,₹870.87,₹0.00,3,0,3,0
02/09/25,₹249.00,₹0.00,1,0,1,0,₹249.00,₹0.00,1.00,0.00,₹249.00,₹0.00,40,1,2,0,42,1,35,1,2,0,37,1,100.00%,100.00%,2.70%,0.00%,2.70%,0.00%,38,37,0,0,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0,₹0.00,0,₹0.00,"₹1,451.45",₹0.00,5,0,5,0
03/09/25,₹0.00,₹0.00,0,0,0,0,₹0.00,₹0.00,0.00,0.00,₹0.00,₹0.00,39,1,2,0,41,1,29,1,2,0,31,1,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,38,37,0,0,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0,₹0.00,0,₹0.00,₹241.75,₹0.00,1,0,1,0
04/09/25,₹299.00,₹0.00,1,0,1,0,₹299.00,₹0.00,1.00,0.00,₹299.00,₹0.00,42,0,7,1,49,1,33,0,6,1,39,1,100.00%,100.00%,2.56%,0.00%,2.56%,0.00%,38,37,0,0,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0,₹0.00,0,₹0.00,₹290.29,₹0.00,1,0,1,0
05/09/25,₹0.00,₹0.00,0,0,0,0,₹0.00,₹0.00,0.00,0.00,₹0.00,₹0.00,25,0,4,0,29,0,18,0,2,0,20,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,38,37,2,0,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0,₹0.00,0,₹0.00,₹0.00,₹0.00,0,0,0,0
06/09/25,₹249.00,₹0.00,1,0,1,0,₹249.00,₹0.00,1.00,0.00,₹249.00,₹0.00,55,0,3,0,58,0,31,0,3,0,34,0,100.00%,0.00%,2.94%,0.00%,2.94%,0.00%,38,37,0,0,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0,₹0.00,0,₹0.00,₹0.00,₹0.00,0,0,0,0
07/09/25,₹299.00,₹0.00,1,0,1,0,₹299.00,₹0.00,1.00,0.00,₹299.00,₹0.00,70,0,4,0,74,0,55,0,4,0,59,0,100.00%,0.00%,1.69%,0.00%,1.69%,0.00%,38,37,0,0,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0,₹0.00,0,₹0.00,₹532.04,₹0.00,2,0,2,0
08/09/25,₹598.00,₹0.00,2,0,2,0,₹299.00,₹0.00,1.00,0.00,₹299.00,₹0.00,43,2,4,1,47,3,34,1,3,1,37,2,100.00%,100.00%,5.41%,0.00%,5.41%,0.00%,38,37,0,0,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0,₹0.00,0,₹0.00,₹0.00,₹0.00,0,0,0,0
09/09/25,₹598.00,₹0.00,2,0,2,0,₹299.00,₹0.00,1.00,0.00,₹299.00,₹0.00,88,0,7,2,95,2,61,0,4,1,65,1,100.00%,100.00%,3.08%,0.00%,3.08%,0.00%,38,37,1,0,50.00%,0.00%,0,0,0,0,0.00%,0.00%,0,₹0.00,0,₹0.00,₹580.58,₹0.00,2,0,2,0
10/09/25,"₹2,275.00",₹0.00,5,0,5,0,₹455.00,₹0.00,1.00,0.00,₹455.00,₹0.00,157,1,40,0,197,1,113,1,31,0,144,1,89.88%,100.00%,3.47%,0.00%,3.47%,0.00%,45,44,0,0,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0,₹0.00,0,₹0.00,₹580.58,₹0.00,2,0,2,0
