Brand,Stock Item,Qty,Stock Screen,Stock Quality,Sunsky Primary Model,Sunsky Cross-fit Models,Sunsky Item No,Sunsky Price (INR),Sunsky Product Type,Amazon Model Matched,Amazon Status,Amazon SKU,Amazon Qty,Amazon Price,Listing Screen,Listing Quality,Amazon Title
Realme,Realme 8 CareOG,1,Not Specified,CareOG,8,,MPB2316,Rs.420,For Nokia,Realme 8,Active,RM85GCARE,2,2789,Not Specified,CareOG,Compatible for Realme 8 (5G) CareOG Display+Touch Screen Combo Folder
Realme,Realme 7i Incell,1,Incell LCD,Standard,7i,,SPS2666,Rs.570,LCD Screen,Realme 7i,Inactive,RM7i,0,2069,LCD,Standard,Compatible for Realme 7i LCD Display+Touch Screen Combo Folder
Realme,Realme 9 Incell,1,Incell LCD,Standard,9,,MPB0445,Rs.860,For OnePlus,Realme 9 Pro+,Active,RME9PRO+OG,100,2573,LCD,Standard,Compatible for Realme 9 Pro+ (No Fingerprint Support) LCD Display+Touch Screen Combo Folde
Realme,Realme C33 Incell,1,Incell LCD,Standard,C33,,SPS6538JL,Rs.209,Back Cover,Realme C33,Inactive,RMEC33OG,0,1966,LCD,Standard,Compatible for Realme C33 LCD Display+Touch Screen Combo Folder
Realme,Realme 11 Pro CareOG,1,Not Specified,CareOG,11 Pro+,,SPS6701G,Rs.86,Camera Series,Realme 11 Pro,Inactive,RLM11ProOG,0,4895,Not Specified,CareOG,Compatible for Realme 11 Pro CareOG (Fingerprint Support) Display+Touch Screen Combo Folde
Realme,Realme 9i Incell,1,Incell LCD,Standard,9i,,SP4370BL,Rs.798,LCD Screen,Realme 9i,Active,RME9iOG,1,2474,LCD,Standard,Compatible for Realme 9i (4G) LCD Display+Touch Screen Combo Folder
Realme,Realme C21 Incell,1,Incell LCD,Standard,C21,Realme C20,SPS2058,Rs.943,LCD Screen,Realme C21Y,Active,RMEC21YOG,100,1915,LCD,Standard,Compatible for Realme C21Y LCD Display+Touch Screen Combo Folder
Realme,Realme 8i Incell,1,Incell LCD,Standard,8i,,EDA003358864,Rs.438,For OPPO,Realme 8i,Active,RME8IOG,100,2671,LCD,Standard,Compatible for Realme 8i LCD Display+Touch Screen Combo Folder
Realme,Realme 7 Pro Incell,1,Incell LCD,Standard,7 Pro,,MPB9872,Rs.454,For OnePlus,Realme 7 Pro,Active,RME7PROG,100,2050,LCD,Standard,Compatible for Realme 7 Pro (No Fingerprint Support) LCD Display+Touch Screen Combo Folder
Vivo,Vivo Y33s Incell,1,Incell LCD,Standard,Y33s,,EDA004389504,Rs.866,LCD Screen,Vivo Y33s,Inactive,Y33S,0,1932,LCD,Standard,Compatible for Vivo Y33s LCD Display+Touch Screen Combo Folder
Vivo,Vivo Y22 Incell,1,Incell LCD,Standard,Y22,,S-SP-5113,Rs.158,Flex Cable,Vivo Y22,Inactive,Y22,0,2148,LCD,Standard,Compatible for Vivo Y22/Y22s LCD Display+Touch Screen Combo Folder
Vivo,Vivo Y22 CareOG,1,Not Specified,CareOG,Y22,,S-SP-5113,Rs.158,Flex Cable,Vivo Y22,Active,Y22CARE,1,2462,Not Specified,CareOG,Compatible for Vivo Y22/Y22s CareOG Display+Touch Screen Combo Folder
Vivo,Vivo T1 CareOG,1,Not Specified,CareOG,T1,,SPS4023,Rs.1249,LCD Screen,Vivo T1,Inactive,T12021CARE,0,2737,Not Specified,CareOG,Compatible for Vivo T1 (2021) CareOG Display+Touch Screen Combo Folder
Vivo,Vivo T2x CareOG,1,Not Specified,CareOG,Smart 2 X5515,,SP3081B,Rs.738,LCD Screen,Vivo T2x,Inactive,T2XCARE,0,2886,Not Specified,CareOG,Compatible for Vivo T2x CareOG Display+Touch Screen Combo Folder
Vivo,Vivo V11 Pro CareOG,1,Not Specified,CareOG,V11,vivo X21s,SPS9852B,Rs.1901,LCD Screen,Vivo V11 Pro,Inactive,V11PROLED,0,4596,Not Specified,CareOG,Compatible for Vivo V11 Pro (Fingerprint Support) CareOG Display+Touch Screen Combo Folder
Vivo,Vivo V17 CareOG,1,Not Specified,CareOG,V17 Pro,,SPS0606,Rs.2510,LCD Screen,Vivo V17,Inactive,V17CARE,0,7591,Not Specified,CareOG,Compatible for Vivo V17 (Fingerprint Support) CareOG Display+Touch Screen Combo Folder
Vivo,Vivo V15 CareOG,1,Not Specified,CareOG,V15,,SPS2177,Rs.3951,LCD Screen,Vivo V15,Inactive,V15CARE,0,2737,Not Specified,CareOG,Compatible for Vivo V15 CareOG Display+Touch Screen Combo Folder
Vivo,Vivo X80 CareOG,1,Not Specified,CareOG,X80,,SPS8540,Rs.7158,LCD Screen,Vivo X80,Inactive,VVX80OG,0,6104,Not Specified,CareOG,Compatible for Vivo X80 CareOG (Fingerprint Support) Display+Touch Screen Combo Folder
Oppo,A53 CareOG,2,Not Specified,CareOG,A53,,SPS3537,Rs.1213,LCD Screen,Oppo A53,Active,OPA535GCARE,1,2462,Not Specified,CareOG,Compatible for Oppo A53 (5G) CareOG Display+Touch Screen Combo Folder
Oppo,F9 Incell,1,Incell LCD,Standard,F9,Oppo A7x,EDA003358819,Rs.357,For OPPO,Oppo F9,Active,OPF9/proOG,99,1768,LCD,Standard,Compatible for Oppo F9/F9 Pro LCD Display+Touch Screen Combo Folder
Oppo,F5 Incell,1,Incell LCD,Standard,F5,,SP3077RL,Rs.190,Back Cover,Oppo F5,Inactive,F5B,0,2184,LCD,Standard,Compatible for Oppo F5 (Black) LCD Display+Touch Screen Combo Folder
OnePlus,OnePlus 8 CareOG,2,Not Specified,CareOG,8,,MPB2316,Rs.420,For Nokia,OnePlus 8,Inactive,1+8CARE,0,6412,Not Specified,CareOG,Compatible for OnePlus 8 (Fingerprint Support) CareOG Display+Touch Screen Combo Folder
OnePlus,OnePlus 10 Pro CareOG,1,Not Specified,CareOG,10 Pro,,RPS0646,Rs.1298,LCD Screen,OnePlus 10 Pro,Inactive,1+10PROCARE,0,18488,Not Specified,CareOG,Compatible for OnePlus 10 Pro (Fingerprint Support) CareOG Display+Touch Screen Combo Fold
OnePlus,OnePlus 7 CareOG,1,Not Specified,CareOG,7,,MPB2319,Rs.341,For Nokia,OnePlus 7,Inactive,1+7CARE,0,4889,Not Specified,CareOG,Compatible for OnePlus 7 (Fingerprint Support) CareOG Display+Touch Screen Combo Folder
OnePlus,OnePlus 7 Incell,1,Incell LCD,Standard,7,,MPB2319,Rs.341,For Nokia,OnePlus 7,Active,OP7LCD,99,2850,LCD,Standard,Compatible for OnePlus 7 (No Fingerprint Support) LCD Display+Touch Screen Combo Folder
OnePlus,OnePlus 8 Pro Incell,1,Incell LCD,Standard,8 Pro,,MPB9877,Rs.458,For OnePlus,OnePlus 8 Pro,Inactive,1+8ProLCD,0,4048,LCD,Standard,Compatible for OnePlus 8 Pro LCD (No Fingerprint Support) Display+Touch Screen Combo Folde
OnePlus,OnePlus 10R Incell,1,Incell LCD,Standard,10R,,EDA003600301,Rs.2922,LCD Screen,OnePlus 10R,Active,1+10RLCD,97,2428,LCD,Standard,Compatible for OnePlus 10R LCD (No Fingerprint Support) Display+Touch Screen Combo Folder
OnePlus,OnePlus 11R CareOG,1,Not Specified,CareOG,11R,,RPS0648,Rs.1288,LCD Screen,OnePlus 11R,Inactive,1+11RCARE,0,6748,Not Specified,CareOG,Compatible for OnePlus 11R (Fingerprint Support) CareOG Display+Touch Screen Combo Folder
OnePlus,OnePlus Nord CareOG,1,Not Specified,CareOG,Nord,,EDA004986023,Rs.514,For OnePlus,OnePlus Nord CE 2 Lite,Inactive,CE2LYTCARE,0,2789,Not Specified,CareOG,Compatible for OnePlus Nord CE 2 Lite CareOG Display+Touch Screen Combo Folder
