Brand,Stock Item,Qty,Stock Screen,Stock Quality,Sunsky Primary Model,Sunsky Cross-fit Models,Sunsky Item No,Sunsky Price (INR),Sunsky Product Type,Amazon Model Matched,Amazon Status,Amazon SKU,Amazon Qty,Amazon Price,Listing Screen,Listing Quality,Amazon Title,Flag
Realme,Realme C67 Incell,1,Incell LCD,Standard,C67 4G,,RPS0460DG,Rs.1243,LCD Screen,Realme C67,Inactive,RLMC67WFOG,0,2969,Not Specified,CareOG,Compatible for Realme C67 (with Frame) CareOG Display+Touch Screen Combo Folder,SCREEN: Incell LCD->Not Specified | QUALITY: Standard->CareOG
Realme,Realme C30 Incell,1,Incell LCD,Standard,C30,,SPS3755BL,Rs.714,LCD Screen,Realme C30,Inactive,RLMC30WFOG,0,2499,Not Specified,CareOG,Compatible for Realme C30 (with Frame) CareOG Display+Touch Screen Combo Folder,SCREEN: Incell LCD->Not Specified | QUALITY: Standard->CareOG
Realme,Realme C53 Incell,1,Incell LCD,Standard,C53,,RPS0436BL,Rs.157,Back Cover,Realme C53,Active,RMC53CARE,1,2736,Not Specified,CareOG,Compatible for Realme C53 CareOG Display+Touch Screen Combo Folder,SCREEN: Incell LCD->Not Specified | QUALITY: Standard->CareOG
Realme,Realme 3 Pro Frame,1,Not Specified,With Frame,3 Pro,Realme X Lite,EDA003358858,Rs.400,For OPPO,iTel A23 Pro,Active,iTelA23P,100,2069,LCD,Standard,Compatible for iTel A23 Pro LCD Display+Touch Screen Combo Folder,SCREEN: Not Specified->LCD | QUALITY: With Frame->Standard
Oppo,F17 Pro OLED,1,OLED,Standard,7 Pro,,MPB9872,Rs.454,For OnePlus,Oppo F17 Pro,Active,OPOF17PROG,100,2737,LCD,Standard,Compatible for Oppo F17 Pro (No Fingerprint Support) LCD Display+Touch Screen Combo Folder,SCREEN: OLED->LCD
Oppo,F19 OLED,1,OLED,Standard,F19,Oppo F19 Pro / Oppo F19 Pro+ 5G,SPS3928,Rs.697,LCD Screen,Oppo F19,Active,OPF19/PROOG,100,2276,LCD,Standard,Compatible for Oppo F19/F19 Pro (No Fingerprint Support) LCD Display+Touch Screen Combo Fo,SCREEN: OLED->LCD
Oppo,F27 OLED,1,OLED,Standard,F27,,EDA008567302,Rs.3139,LCD Screen,Oppo F27 5G,Active,OPF275GLCD,100,2799,LCD,Standard,Compatible for Oppo F27 5G LCD (No Fingerprint Support) Display+Touch Screen Combo Folder,SCREEN: OLED->LCD
Oppo,F5 Frame,1,Not Specified,With Frame,F5,,SP3077RL,Rs.190,Back Cover,Oppo F5,Active,OPOF5BCARE,1,2474,Not Specified,CareOG,Compatible for Oppo F5 (Black) CareOG Display+Touch Screen Combo Folder,QUALITY: With Frame->CareOG
Apple,iPhone 8 Plus Incell,1,Incell LCD,Standard,iPhone 8 Plus,,IP8P1211L,Rs.441,For iPhone,Apple iPhone 8 Plus,Inactive,IPH8PBCARE,0,3464,Not Specified,CareOG,Compatible for Apple iPhone 8 Plus (Black) CareOG Display+Touch Screen Combo Folder,SCREEN: Incell LCD->Not Specified | QUALITY: Standard->CareOG
Samsung,Galaxy A73 OLED,1,OLED,Standard,A73,Oppo F5 Youth / Oppo A77,EDA003358812,Rs.323,For OPPO,Samsung Galaxy A73,Inactive,SAMA73CARE,0,6180,Not Specified,CareOG,Compatible for Samsung Galaxy A73 (Fingerprint Support) CareOG Display+Touch Screen Combo ,SCREEN: OLED->Not Specified | QUALITY: Standard->CareOG
Samsung,Galaxy J7 Max Incell,1,Incell LCD,Standard,Galaxy J7 Max,,SPA1078BL,Rs.1489,LCD Screen,Samsung Galaxy J7 Max,Inactive,J7MXBLED,0,2225,OLED,Standard,Compatible for Samsung Galaxy J7 Max (2017) (Black) OLED Display+Touch Screen Combo Folder,SCREEN: Incell LCD->OLED
