Brand,Stock Item,Qty,Stock Screen,Stock Quality,Sunsky Primary Model,Sunsky Cross-fit Models,Sunsky Item No,Sunsky Price (INR),Sunsky Product Type,Amazon Model Matched,Amazon Status,Amazon SKU,Amazon Qty,Amazon Price,Listing Screen,Listing Quality,Amazon Title,Flag
Realme,Realme 13 Pro CareOG,1,Not Specified,CareOG,13 Pro,,SPS7838S,Rs.12643,LCD Screen,,,,,,,,,
Vivo,Vivo X70 Pro Plus CareOG,1,Not Specified,CareOG,70 Pro,,EDA004526819,Rs.3303,LCD Screen,,,,,,,,,
Oppo,A57 5G CareOG,3,Not Specified,CareOG,A57 5G,,EDA003543803,Rs.860,LCD Screen,,,,,,,,,
Oppo,A54 5G Incell,1,Incell LCD,Standard,A54 5G,,SPS3221,Rs.1473,LCD Screen,,,,,,,,,
Oppo,Reno 10 Pro Plus CareOG,2,Not Specified,CareOG,10 Pro,,RPS0646,Rs.1298,LCD Screen,,,,,,,,,
Samsung,Galaxy A32 4G Incell,1,Incell LCD,Standard,A32,,SPS3535,Rs.1127,LCD Screen,,,,,,,,,
Samsung,Galaxy A32 4G Incell,1,Incell LCD,Standard,A32,,SPS3535,Rs.1127,LCD Screen,,,,,,,,,
Samsung,Galaxy S21 FE OLED,1,OLED,Standard,Galaxy S21 FE 5G,,EDA004054907,Rs.404,For Samsung,,,,,,,,,
Samsung,Galaxy S20 FE With Frame OLED,1,OLED,With Frame,,,,,,,,,,,,,,
Samsung,Galaxy J7 Next Incell,3,Incell LCD,Standard,NEX,,EDA002562221,Rs.44,Outer Glass Lens,,,,,,,,,
Samsung,Galaxy J7 2016 Incell,1,Incell LCD,Standard,Galaxy J7 (2016),,MPB4389,Rs.265,For Samsung,,,,,,,,,
Samsung,Galaxy J7 2015 Incell,1,Incell LCD,Standard,,,,,,,,,,,,,,
XIAOMI/REDMI/POCO,Redmi Note 5 With Frame White,1,Not Specified,With Frame,Redmi Note 5,,MPB3546,Rs.307,For Xiaomi,,,,,,,,,
XIAOMI/REDMI/POCO,11X OLED,1,OLED,Standard,Mi 11X,Xiaomi Mi 11X Pro / Xiaomi Mi 11i / Xiaomi Poco F3 / Xiaomi Redmi K40 Pro+ / Xiaomi Redmi K40 Pro,EDA003356912,Rs.404,For Xiaomi,,,,,,,,,
XIAOMI/REDMI/POCO,11X Incell,1,Incell LCD,Standard,Mi 11X,Xiaomi Mi 11X Pro / Xiaomi Mi 11i / Xiaomi Poco F3 / Xiaomi Redmi K40 Pro+ / Xiaomi Redmi K40 Pro,EDA003356912,Rs.404,For Xiaomi,,,,,,,,,
XIAOMI/REDMI/POCO,Redmi 4A With Frame Incell Black,1,Incell LCD,With Frame,Mi 4,,MPB1219,Rs.332,For Xiaomi,,,,,,,,,
XIAOMI/REDMI/POCO,Redmi Note 10T With Frame,1,Not Specified,With Frame,10T,,SPS6011B,Rs.3094,LCD Screen,,,,,,,,,
XIAOMI/REDMI/POCO,K20 Incell,1,Incell LCD,Standard,Spark 20 Pro,,EDA006935205,Rs.1213,LCD Screen,,,,,,,,,
XIAOMI/REDMI/POCO,Redmi 12 With Frame,1,Not Specified,With Frame,Mi 1,,S-SP-0082,Rs.388,Touch Panel,,,,,,,,,
XIAOMI/REDMI/POCO,Redmi 12 5G With Frame,1,Not Specified,With Frame,Redmi 12 5G,,EDA004686314,Rs.825,LCD Screen,,,,,,,,,
XIAOMI/REDMI/POCO,Redmi 13 Pro Plus With Frame,1,Not Specified,With Frame,3 Pro,Realme X Lite,EDA003358858,Rs.400,For OPPO,,,,,,,,,
XIAOMI/REDMI/POCO,Redmi 10 Power Incell,1,Incell LCD,Standard,Redmi 10 Power,Xiaomi Redmi 10C,SPS5048LL,Rs.189,Back Cover,,,,,,,,,
XIAOMI/REDMI/POCO,Redmi Note 6 Pro Incell,1,Incell LCD,Standard,Redmi Note 6 Pro,,MPB1238,Rs.341,For Xiaomi,,,,,,,,,
XIAOMI/REDMI/POCO,Redmi Note 7 Incell,1,Incell LCD,Standard,Redmi Note 7,,SP1800B,Rs.806,LCD Screen,,,,,,,,,
XIAOMI/REDMI/POCO,Poco X3 Incell,1,Incell LCD,Standard,Poco X3,,EDA003356932,Rs.422,For Xiaomi,,,,,,,,,
XIAOMI/REDMI/POCO,Poco M4 Incell,1,Incell LCD,Standard,Poco M4 Pro 5G,POCO Redmi Note 11,SPS3993,Rs.1629,LCD Screen,,,,,,,,,
Mixed,Infinix Note 10 Incell,1,Incell LCD,Standard,Note 10,,SPS5085,Rs.945,LCD Screen,,,,,,,,,
Mixed,Infinix Hot 9 Incell,1,Incell LCD,Standard,Hot 9,,SPS8868PL,Rs.139,Back Cover,,,,,,,,,
Mixed,Infinix Note 11S Incell,1,Incell LCD,Standard,Note 11s,,EDA003212704,Rs.945,LCD Screen,,,,,,,,,
Mixed,Honor 7X Incell,1,Incell LCD,Standard,7X,,SP2893BL,Rs.798,LCD Screen,,,,,,,,,
Mixed,Honor 7X White Incell,1,Incell LCD,Standard,7X,,SP2893BL,Rs.798,LCD Screen,,,,,,,,,
Mixed,Honor 8X Incell,1,Incell LCD,Standard,8X,Honor P10 Plus / Honor Mate20 Lite / Honor Nova 3 / Honor Play / Honor Nova 4,MPB2326,Rs.363,For Huawei,,,,,,,,,
Mixed,Honor X9B Incell,1,Incell LCD,Standard,X9b,Honor X50,SPS9074,Rs.533,For Huawei,,,,,,,,,
Mixed,Nokia G10 Incell,1,Incell LCD,Standard,G10,Nokia G20,SPS5292BL,Rs.1105,LCD Screen,,,,,,,,,
Mixed,Nokia G20 Incell,2,Incell LCD,Standard,G20,,EDA003358713,Rs.381,For Nokia,,,,,,,,,
Mixed,Nokia G21 Incell,1,Incell LCD,Standard,G21,,SPS9286J,Rs.118,Card Tray,,,,,,,,,
Mixed,Nokia C3 Incell,1,Incell LCD,Standard,C3,,SPS0454L,Rs.856,LCD Screen,,,,,,,,,
