Match Type,Brand,Stock Item,Qty,Stock Screen,Stock Quality,Sunsky Primary Model,Sunsky Cross-fit Models,Sunsky Item No,Sunsky Price (INR),Sunsky Product Type,Amazon Model Matched,Amazon Status,Amazon SKU,Amazon Qty,Amazon Price,Listing Screen,Listing Quality,Amazon Title,Flag
EXACT MATCH,Realme,Realme 8 CareOG,1,Not Specified,CareOG,8,,MPB2316,Rs.420,For Nokia,Realme 8,Active,RM85GCARE,2,2789,Not Specified,CareOG,Compatible for Realme 8 (5G) CareOG Display+Touch Screen Combo Folder,
EXACT MATCH,Realme,Realme 7i Incell,1,Incell LCD,Standard,7i,,SPS2666,Rs.570,LCD Screen,Realme 7i,Inactive,RM7i,0,2069,LCD,Standard,Compatible for Realme 7i LCD Display+Touch Screen Combo Folder,
EXACT MATCH,Realme,Realme 9 Incell,1,Incell LCD,Standard,9,,MPB0445,Rs.860,For OnePlus,Realme 9 Pro+,Active,RME9PRO+OG,100,2573,LCD,Standard,Compatible for Realme 9 Pro+ (No Fingerprint Support) LCD Display+Touch Screen Combo Folde,
EXACT MATCH,Realme,Realme C33 Incell,1,Incell LCD,Standard,C33,,SPS6538JL,Rs.209,Back Cover,Realme C33,Inactive,RMEC33OG,0,1966,LCD,Standard,Compatible for Realme C33 LCD Display+Touch Screen Combo Folder,
EXACT MATCH,Realme,Realme 11 Pro CareOG,1,Not Specified,CareOG,11 Pro+,,SPS6701G,Rs.86,Camera Series,Realme 11 Pro,Inactive,RLM11ProOG,0,4895,Not Specified,CareOG,Compatible for Realme 11 Pro CareOG (Fingerprint Support) Display+Touch Screen Combo Folde,
EXACT MATCH,Realme,Realme 9i Incell,1,Incell LCD,Standard,9i,,SP4370BL,Rs.798,LCD Screen,Realme 9i,Active,RME9iOG,1,2474,LCD,Standard,Compatible for Realme 9i (4G) LCD Display+Touch Screen Combo Folder,
EXACT MATCH,Realme,Realme C21 Incell,1,Incell LCD,Standard,C21,Realme C20,SPS2058,Rs.943,LCD Screen,Realme C21Y,Active,RMEC21YOG,100,1915,LCD,Standard,Compatible for Realme C21Y LCD Display+Touch Screen Combo Folder,
EXACT MATCH,Realme,Realme 8i Incell,1,Incell LCD,Standard,8i,,EDA003358864,Rs.438,For OPPO,Realme 8i,Active,RME8IOG,100,2671,LCD,Standard,Compatible for Realme 8i LCD Display+Touch Screen Combo Folder,
EXACT MATCH,Realme,Realme 7 Pro Incell,1,Incell LCD,Standard,7 Pro,,MPB9872,Rs.454,For OnePlus,Realme 7 Pro,Active,RME7PROG,100,2050,LCD,Standard,Compatible for Realme 7 Pro (No Fingerprint Support) LCD Display+Touch Screen Combo Folder,
EXACT MATCH,Vivo,Vivo Y33s Incell,1,Incell LCD,Standard,Y33s,,EDA004389504,Rs.866,LCD Screen,Vivo Y33s,Inactive,Y33S,0,1932,LCD,Standard,Compatible for Vivo Y33s LCD Display+Touch Screen Combo Folder,
EXACT MATCH,Vivo,Vivo Y22 Incell,1,Incell LCD,Standard,Y22,,S-SP-5113,Rs.158,Flex Cable,Vivo Y22,Inactive,Y22,0,2148,LCD,Standard,Compatible for Vivo Y22/Y22s LCD Display+Touch Screen Combo Folder,
