Brand,Stock Item,Qty,Stock Screen,Stock Quality,Model Matched,Amazon Status,Amazon SKU,Amazon Qty,Amazon Price,Listing Screen,Listing Quality,Title
Realme,Realme 8 CareOG,1,Not Specified,CareOG,Realme 8,Active,RM85GCARE,2,2789,Not Specified,CareOG,Compatible for Realme 8 (5G) CareOG Display+Touch Screen Combo Folder
Realme,Realme 7i Incell,1,Incell LCD,Standard,Realme 7i,Inactive,RM7i,0,2069,LCD,Standard,Compatible for Realme 7i LCD Display+Touch Screen Combo Folder
Realme,Realme 9 Incell,1,Incell LCD,Standard,Realme 9,Inactive,RM94G,0,2737,LCD,Standard,Compatible for Realme 9 (4G) (No Fingerprint Support) LCD Display+Touch Screen Combo Folde
Realme,Realme C33 Incell,1,Incell LCD,Standard,Realme C33,Inactive,RMEC33OG,0,1966,LCD,Standard,Compatible for Realme C33 LCD Display+Touch Screen Combo Folder
Realme,Realme 11 Pro CareOG,1,Not Specified,CareOG,Realme 11 Pro,Inactive,RLM11ProOG,0,4895,Not Specified,CareOG,Compatible for Realme 11 Pro CareOG (Fingerprint Support) Display+Touch Screen Combo Folde
Realme,Realme 9i Incell,1,Incell LCD,Standard,Realme 9i,Active,RME9iOG,1,2474,LCD,Standard,Compatible for Realme 9i (4G) LCD Display+Touch Screen Combo Folder
Realme,Realme C21 Incell,1,Incell LCD,Standard,Realme C21,Inactive,RMEC21OG,0,1966,LCD,Standard,Compatible for Realme C21 LCD Display+Touch Screen Combo Folder
Realme,Realme 8i Incell,1,Incell LCD,Standard,Realme 8i,Active,RME8IOG,100,2671,LCD,Standard,Compatible for Realme 8i LCD Display+Touch Screen Combo Folder
Realme,Realme 7 Pro Incell,1,Incell LCD,Standard,Realme 7 Pro,Active,RME7PROG,100,2050,LCD,Standard,Compatible for Realme 7 Pro (No Fingerprint Support) LCD Display+Touch Screen Combo Folder
Vivo,Vivo Y33s Incell,1,Incell LCD,Standard,Vivo Y33s,Inactive,Y33S,0,1932,LCD,Standard,Compatible for Vivo Y33s LCD Display+Touch Screen Combo Folder
Vivo,Vivo Y22 Incell,1,Incell LCD,Standard,Vivo Y22,Inactive,Y22,0,2148,LCD,Standard,Compatible for Vivo Y22/Y22s LCD Display+Touch Screen Combo Folder
Vivo,Vivo Y22 CareOG,1,Not Specified,CareOG,Vivo Y22,Active,Y22CARE,1,2462,Not Specified,CareOG,Compatible for Vivo Y22/Y22s CareOG Display+Touch Screen Combo Folder
Vivo,Vivo T1 CareOG,1,Not Specified,CareOG,Vivo T1,Inactive,T12021CARE,0,2737,Not Specified,CareOG,Compatible for Vivo T1 (2021) CareOG Display+Touch Screen Combo Folder
Vivo,Vivo T2x CareOG,1,Not Specified,CareOG,Vivo T2x,Inactive,T2XCARE,0,2886,Not Specified,CareOG,Compatible for Vivo T2x CareOG Display+Touch Screen Combo Folder
