Brand,Stock Item,Qty,Stock Screen,Stock Quality,Amazon Status,Amazon SKU,Amazon Qty,Amazon Price,Listing Screen,Listing Quality,Title
Realme,Realme 11 Pro CareOG,1,Not Specified,CareOG,Inactive,RLM11ProOG,0,4895,Not Specified,CareOG,Compatible for Realme 11 Pro CareOG (Fingerprint Support) Display+Touch Screen C
Vivo,Vivo Y22 CareOG,1,Not Specified,CareOG,Active,Y22CARE,1,2462,Not Specified,CareOG,Compatible for Vivo Y22/Y22s CareOG Display+Touch Screen Combo Folder
Vivo,Vivo T2x CareOG,1,Not Specified,CareOG,Inactive,T2XCARE,0,2886,Not Specified,CareOG,Compatible for Vivo T2x CareOG Display+Touch Screen Combo Folder
Vivo,Vivo X70 Pro Plus CareOG,1,Not Specified,CareOG,Inactive,VVX70Pro+OG,0,8499,Not Specified,CareOG,Compatible for Vivo X70 Pro+ CareOG (Fingerprint Support) Display+Touch Screen C
Vivo,Vivo V11 Pro CareOG,1,Not Specified,CareOG,Inactive,V11PROLED,0,4596,Not Specified,CareOG,Compatible for Vivo V11 Pro (Fingerprint Support) CareOG Display+Touch Screen Co
Vivo,Vivo V17 CareOG,1,Not Specified,CareOG,Inactive,V17CARE,0,7591,Not Specified,CareOG,Compatible for Vivo V17 (Fingerprint Support) CareOG Display+Touch Screen Combo 
Vivo,Vivo V15 CareOG,1,Not Specified,CareOG,Inactive,V15CARE,0,2737,Not Specified,CareOG,Compatible for Vivo V15 CareOG Display+Touch Screen Combo Folder
Vivo,Vivo X80 CareOG,1,Not Specified,CareOG,Inactive,VVX80OG,0,6104,Not Specified,CareOG,Compatible for Vivo X80 CareOG (Fingerprint Support) Display+Touch Screen Combo 
Oppo,A53 CareOG,2,Not Specified,CareOG,Active,OPA535GCARE,1,2462,Not Specified,CareOG,Compatible for Oppo A53 (5G) CareOG Display+Touch Screen Combo Folder
Oppo,A57 5G CareOG,3,Not Specified,CareOG,Active,OPA57/57S4GCARE,1,2095,Not Specified,CareOG,Compatible for Oppo A57/A57s (4G) CareOG Display+Touch Screen Combo Folder
Oppo,Reno 10 Pro Plus CareOG,2,Not Specified,CareOG,Inactive,OPAssOG,0,2099,Not Specified,CareOG,Compatible for Oppo Reno ACE CareOG Display+Touch Screen Combo Folder
OnePlus,OnePlus 10 Pro CareOG,1,Not Specified,CareOG,Inactive,1+10PROCARE,0,18488,Not Specified,CareOG,Compatible for OnePlus 10 Pro (Fingerprint Support) CareOG Display+Touch Screen 
OnePlus,OnePlus 11R CareOG,1,Not Specified,CareOG,Inactive,1+11RCARE,0,6748,Not Specified,CareOG,Compatible for OnePlus 11R (Fingerprint Support) CareOG Display+Touch Screen Com
OnePlus,OnePlus Nord CareOG,1,Not Specified,CareOG,Inactive,CE2LYTCARE,0,2789,Not Specified,CareOG,Compatible for OnePlus Nord CE 2 Lite CareOG Display+Touch Screen Combo Folder
Apple,iPhone 13 Pro OLED,1,OLED,Standard,Active,IP13PMGX,1,10174,OLED,Standard,Compatible for Apple iPhone 13 Pro Max GX Amoled Display+Touch Screen Combo Fold
Apple,iPhone 13 Pro Max OLED,1,OLED,Standard,Active,IP13PMGX,1,10174,OLED,Standard,Compatible for Apple iPhone 13 Pro Max GX Amoled Display+Touch Screen Combo Fold
Apple,iPhone 11 Pro Max OLED,1,OLED,Standard,Inactive,11PMAXOLED,0,4588,OLED,Standard,Compatible for Apple iPhone 11 Pro Max GX Amoled Display+Touch Screen Combo Fold
Samsung,Galaxy S20 FE With Frame OLED,1,OLED,With Frame,Inactive,GLXS20FeWFLED,0,4796,OLED,With Frame,Compatible for Samsung Galaxy S20 FE (with Frame) Amoled (Fingerprint Support) D
