Brand,Stock Name,Qty,Stock Screen,Stock Quality,Status,Amazon SKU,Amazon Qty,Amazon Price,Listing Screen,Listing Quality,Title
Realme,Realme C67 Incell,1,Incell LCD,Standard,ACTIVE,RLM10Pro+LCD,97,3239,LCD,Standard,Compatible for Realme 10 Pro+ LCD (No Fingerprint Support) Display+Touch Screen 
Realme,Realme 8 CareOG,1,Not Specified,CareOG,ACTIVE,RLM10Pro+LCD,97,3239,LCD,Standard,Compatible for Realme 10 Pro+ LCD (No Fingerprint Support) Display+Touch Screen 
Realme,Realme 7i Incell,1,Incell LCD,Standard,ACTIVE,RLM10Pro+LCD,97,3239,LCD,Standard,Compatible for Realme 10 Pro+ LCD (No Fingerprint Support) Display+Touch Screen 
Realme,Realme 9 Incell,1,Incell LCD,Standard,ACTIVE,RLM10Pro+LCD,97,3239,LCD,Standard,Compatible for Realme 10 Pro+ LCD (No Fingerprint Support) Display+Touch Screen 
Realme,Realme C33 Incell,1,Incell LCD,Standard,ACTIVE,RLM10Pro+LCD,97,3239,LCD,Standard,Compatible for Realme 10 Pro+ LCD (No Fingerprint Support) Display+Touch Screen 
Realme,Realme 11 Pro CareOG,1,Not Specified,CareOG,ACTIVE,RLM10Pro+LCD,97,3239,LCD,Standard,Compatible for Realme 10 Pro+ LCD (No Fingerprint Support) Display+Touch Screen 
Realme,Realme 9i Incell,1,Incell LCD,Standard,ACTIVE,RME9iOG,1,2474,LCD,Standard,Compatible for Realme 9i (4G) LCD Display+Touch Screen Combo Folder
Realme,Realme C21 Incell,1,Incell LCD,Standard,ACTIVE,RMEC21YOG,100,1915,LCD,Standard,Compatible for Realme C21Y LCD Display+Touch Screen Combo Folder
Realme,Realme C30 Incell,1,Incell LCD,Standard,ACTIVE,RLM10Pro+LCD,97,3239,LCD,Standard,Compatible for Realme 10 Pro+ LCD (No Fingerprint Support) Display+Touch Screen 
Realme,Realme C53 Incell,1,Incell LCD,Standard,ACTIVE,RMC53CARE,1,2736,Not Specified,CareOG,Compatible for Realme C53 CareOG Display+Touch Screen Combo Folder
Realme,Realme 8i Incell,1,Incell LCD,Standard,ACTIVE,RME8IOG,100,2671,LCD,Standard,Compatible for Realme 8i LCD Display+Touch Screen Combo Folder
Realme,Realme 13 Pro CareOG,1,Not Specified,CareOG,ACTIVE,RLM10Pro+LCD,97,3239,LCD,Standard,Compatible for Realme 10 Pro+ LCD (No Fingerprint Support) Display+Touch Screen 
Realme,Realme 3 Pro Frame,1,Not Specified,With Frame,ACTIVE,RLM10Pro+LCD,97,3239,LCD,Standard,Compatible for Realme 10 Pro+ LCD (No Fingerprint Support) Display+Touch Screen 
Realme,Realme 7 Pro Incell,1,Incell LCD,Standard,ACTIVE,RLM10Pro+LCD,97,3239,LCD,Standard,Compatible for Realme 10 Pro+ LCD (No Fingerprint Support) Display+Touch Screen 
Vivo,Vivo Y33s Incell,1,Incell LCD,Standard,ACTIVE,V15PRO,99,2475,LCD,Standard,Compatible for Vivo V15 Pro (No Fingerprint Support) LCD Display+Touch Screen Co
Vivo,Vivo Y22 Incell,1,Incell LCD,Standard,ACTIVE,Y22CARE,1,2462,Not Specified,CareOG,Compatible for Vivo Y22/Y22s CareOG Display+Touch Screen Combo Folder
Vivo,Vivo Y22 CareOG,1,Not Specified,CareOG,ACTIVE,Y22CARE,1,2462,Not Specified,CareOG,Compatible for Vivo Y22/Y22s CareOG Display+Touch Screen Combo Folder
Vivo,Vivo T1 CareOG,1,Not Specified,CareOG,ACTIVE,V15PRO,99,2475,LCD,Standard,Compatible for Vivo V15 Pro (No Fingerprint Support) LCD Display+Touch Screen Co
Vivo,Vivo T2x CareOG,1,Not Specified,CareOG,ACTIVE,V15PRO,99,2475,LCD,Standard,Compatible for Vivo V15 Pro (No Fingerprint Support) LCD Display+Touch Screen Co
Vivo,Vivo X70 Pro Plus CareOG,1,Not Specified,CareOG,ACTIVE,V15PRO,99,2475,LCD,Standard,Compatible for Vivo V15 Pro (No Fingerprint Support) LCD Display+Touch Screen Co
Vivo,Vivo V11 Pro CareOG,1,Not Specified,CareOG,ACTIVE,V15PRO,99,2475,LCD,Standard,Compatible for Vivo V15 Pro (No Fingerprint Support) LCD Display+Touch Screen Co
Vivo,Vivo V17 CareOG,1,Not Specified,CareOG,ACTIVE,V17LCD,100,3999,LCD,Standard,Compatible for Vivo V17 (No Fingerprint Support) LCD Display+Touch Screen Combo 
Vivo,Vivo V15 CareOG,1,Not Specified,CareOG,ACTIVE,V15PRO,99,2475,LCD,Standard,Compatible for Vivo V15 Pro (No Fingerprint Support) LCD Display+Touch Screen Co
Vivo,Vivo X80 CareOG,1,Not Specified,CareOG,ACTIVE,V15PRO,99,2475,LCD,Standard,Compatible for Vivo V15 Pro (No Fingerprint Support) LCD Display+Touch Screen Co
Oppo,F17 Pro OLED,1,OLED,Standard,ACTIVE,OPOF17PROG,100,2737,LCD,Standard,Compatible for Oppo F17 Pro (No Fingerprint Support) LCD Display+Touch Screen Co
Oppo,A53 CareOG,2,Not Specified,CareOG,ACTIVE,OPA535GCARE,1,2462,Not Specified,CareOG,Compatible for Oppo A53 (5G) CareOG Display+Touch Screen Combo Folder
Oppo,A57 5G CareOG,3,Not Specified,CareOG,ACTIVE,OPA57/57S4GCARE,1,2095,Not Specified,CareOG,Compatible for Oppo A57/A57s (4G) CareOG Display+Touch Screen Combo Folder
Oppo,F19 OLED,1,OLED,Standard,ACTIVE,OPF19/PROOG,100,2276,LCD,Standard,Compatible for Oppo F19/F19 Pro (No Fingerprint Support) LCD Display+Touch Scree
Oppo,A54 5G Incell,1,Incell LCD,Standard,ACTIVE,OPOA545GCARE,2,2182,Not Specified,CareOG,Compatible for Oppo A54 (5G) CareOG Display+Touch Screen Combo Folder
Oppo,F27 OLED,1,OLED,Standard,ACTIVE,OPF275GLCD,100,2799,LCD,Standard,Compatible for Oppo F27 5G LCD (No Fingerprint Support) Display+Touch Screen Com
Oppo,F9 Incell,1,Incell LCD,Standard,ACTIVE,OPF9/proOG,99,1768,LCD,Standard,Compatible for Oppo F9/F9 Pro LCD Display+Touch Screen Combo Folder
Oppo,Reno 10 Pro Plus CareOG,2,Not Specified,CareOG,ACTIVE,RNO2ZINCELL,1,2315,LCD,Standard,Compatible for Oppo Reno 2Z (No Fingerprint Support) LCD Display+Touch Screen Co
Oppo,F5 Frame,1,Not Specified,With Frame,ACTIVE,OPOF5BCARE,1,2474,Not Specified,CareOG,Compatible for Oppo F5 (Black) CareOG Display+Touch Screen Combo Folder
Oppo,F5 Incell,1,Incell LCD,Standard,ACTIVE,OPOF5BCARE,1,2474,Not Specified,CareOG,Compatible for Oppo F5 (Black) CareOG Display+Touch Screen Combo Folder
OnePlus,OnePlus 8 CareOG,2,Not Specified,CareOG,ACTIVE,1+10RLCD,97,2428,LCD,Standard,Compatible for OnePlus 10R LCD (No Fingerprint Support) Display+Touch Screen Com
OnePlus,OnePlus 10 Pro CareOG,1,Not Specified,CareOG,ACTIVE,1+10RLCD,97,2428,LCD,Standard,Compatible for OnePlus 10R LCD (No Fingerprint Support) Display+Touch Screen Com
OnePlus,OnePlus 7 CareOG,1,Not Specified,CareOG,ACTIVE,1+10RLCD,97,2428,LCD,Standard,Compatible for OnePlus 10R LCD (No Fingerprint Support) Display+Touch Screen Com
OnePlus,OnePlus 7 Incell,1,Incell LCD,Standard,ACTIVE,1+10RLCD,97,2428,LCD,Standard,Compatible for OnePlus 10R LCD (No Fingerprint Support) Display+Touch Screen Com
OnePlus,OnePlus 8 Pro Incell,1,Incell LCD,Standard,ACTIVE,1+10RLCD,97,2428,LCD,Standard,Compatible for OnePlus 10R LCD (No Fingerprint Support) Display+Touch Screen Com
