brand,stock_name,stock_qty,stock_screen,stock_quality,stock_model,status,listing_sku,listing_qty,listing_price,listing_screen,listing_quality,listing_brand,listing_title
REALME,Realme C67 Incell,1,Incell LCD,Standard,c67,NOT LISTED,,,,,,,
REALME,Realme 8 CareOG,1,Not Specified,CareOG,8,ACTIVE,RM85GCARE,2,2789,Not Specified,CareOG,REALME,Compatible for Realme 8 (5G) CareOG Display+Touch Screen Combo Folder
REALME,Realme 7i Incell,1,Incell LCD,Standard,7i,INACTIVE,RM7i,0,2069,LCD,Standard,REALME,Compatible for Realme 7i LCD Display+Touch Screen Combo Folder
REALME,Realme 9 Incell,1,Incell LCD,Standard,9,ACTIVE,RME9PRO+OG,100,2573,LCD,Standard,REALME,Compatible for Realme 9 Pro+ (No Fingerprint Support) LCD Display+Touch Screen C
REALME,Realme C33 Incell,1,Incell LCD,Standard,c33,INACTIVE,RMEC33OG,0,1966,LCD,Standard,REALME,Compatible for Realme C33 LCD Display+Touch Screen Combo Folder
REALME,Realme 11 Pro CareOG,1,Not Specified,CareOG,11pro,INACTIVE,RLM11ProOG,0,4895,Not Specified,CareOG,REALME,Compatible for Realme 11 Pro CareOG (Fingerprint Support) Display+Touch Screen C
REALME,Realme 9i Incell,1,Incell LCD,Standard,9i,ACTIVE,RME9iOG,1,2474,LCD,Standard,REALME,Compatible for Realme 9i (4G) LCD Display+Touch Screen Combo Folder
REALME,Realme C21 Incell,1,Incell LCD,Standard,c21,ACTIVE,RMEC21YOG,100,1915,LCD,Standard,REALME,Compatible for Realme C21Y LCD Display+Touch Screen Combo Folder
REALME,Realme C30 Incell,1,Incell LCD,Standard,c30,NOT LISTED,,,,,,,
REALME,Realme C53 Incell,1,Incell LCD,Standard,c53,NOT LISTED,,,,,,,
REALME,Realme 8i Incell,1,Incell LCD,Standard,8i,ACTIVE,RME8IOG,100,2671,LCD,Standard,REALME,Compatible for Realme 8i LCD Display+Touch Screen Combo Folder
REALME,Realme 13 Pro CareOG,1,Not Specified,CareOG,13pro,NOT LISTED,,,,,,,
REALME,Realme 3 Pro Frame,1,Not Specified,With Frame,3pro,NOT LISTED,,,,,,,
REALME,Realme 7 Pro Incell,1,Incell LCD,Standard,7pro,ACTIVE,RME7PROG,100,2050,LCD,Standard,REALME,Compatible for Realme 7 Pro (No Fingerprint Support) LCD Display+Touch Screen Co
VIVO,Vivo Y33s Incell,1,Incell LCD,Standard,y33s,INACTIVE,Y33S,0,1932,LCD,Standard,VIVO,Compatible for Vivo Y33s LCD Display+Touch Screen Combo Folder
VIVO,Vivo Y22 Incell,1,Incell LCD,Standard,y22,INACTIVE,Y22,0,2148,LCD,Standard,VIVO,Compatible for Vivo Y22/Y22s LCD Display+Touch Screen Combo Folder
VIVO,Vivo Y22 CareOG,1,Not Specified,CareOG,y22,ACTIVE,Y22CARE,1,2462,Not Specified,CareOG,VIVO,Compatible for Vivo Y22/Y22s CareOG Display+Touch Screen Combo Folder
VIVO,Vivo T1 CareOG,1,Not Specified,CareOG,t1,INACTIVE,T12021CARE,0,2737,Not Specified,CareOG,VIVO,Compatible for Vivo T1 (2021) CareOG Display+Touch Screen Combo Folder
VIVO,Vivo T2x CareOG,1,Not Specified,CareOG,t2x,INACTIVE,T2XCARE,0,2886,Not Specified,CareOG,VIVO,Compatible for Vivo T2x CareOG Display+Touch Screen Combo Folder
VIVO,Vivo X70 Pro Plus CareOG,1,Not Specified,CareOG,x70proplus,INACTIVE,VVX70Pro+OG,0,8499,Not Specified,CareOG,VIVO,Compatible for Vivo X70 Pro+ CareOG (Fingerprint Support) Display+Touch Screen C
VIVO,Vivo V11 Pro CareOG,1,Not Specified,CareOG,v11pro,INACTIVE,V11PROLED,0,4596,Not Specified,CareOG,VIVO,Compatible for Vivo V11 Pro (Fingerprint Support) CareOG Display+Touch Screen Co
VIVO,Vivo V17 CareOG,1,Not Specified,CareOG,v17,INACTIVE,V17CARE,0,7591,Not Specified,CareOG,VIVO,Compatible for Vivo V17 (Fingerprint Support) CareOG Display+Touch Screen Combo 
VIVO,Vivo V15 CareOG,1,Not Specified,CareOG,v15,INACTIVE,V15CARE,0,2737,Not Specified,CareOG,VIVO,Compatible for Vivo V15 CareOG Display+Touch Screen Combo Folder
VIVO,Vivo X80 CareOG,1,Not Specified,CareOG,x80,INACTIVE,VVX80OG,0,6104,Not Specified,CareOG,VIVO,Compatible for Vivo X80 CareOG (Fingerprint Support) Display+Touch Screen Combo 
OPPO,F17 Pro OLED,1,OLED,Standard,f17pro,NOT LISTED,,,,,,,
OPPO,A53 CareOG,2,Not Specified,CareOG,a53,ACTIVE,OPA535GCARE,1,2462,Not Specified,CareOG,OPPO,Compatible for Oppo A53 (5G) CareOG Display+Touch Screen Combo Folder
OPPO,A57 5G CareOG,3,Not Specified,CareOG,a575g,ACTIVE,OPA57/57S4GCARE,1,2095,Not Specified,CareOG,OPPO,Compatible for Oppo A57/A57s (4G) CareOG Display+Touch Screen Combo Folder
OPPO,F19 OLED,1,OLED,Standard,f19,NOT LISTED,,,,,,,
OPPO,A54 5G Incell,1,Incell LCD,Standard,a545g,NOT LISTED,,,,,,,
OPPO,F27 OLED,1,OLED,Standard,f27,NOT LISTED,,,,,,,
OPPO,F9 Incell,1,Incell LCD,Standard,f9,ACTIVE,OPF9/proOG,99,1768,LCD,Standard,OPPO,Compatible for Oppo F9/F9 Pro LCD Display+Touch Screen Combo Folder
OPPO,Reno 10 Pro Plus CareOG,2,Not Specified,CareOG,reno10proplus,INACTIVE,OPAssOG,0,2099,Not Specified,CareOG,OPPO,Compatible for Oppo Reno ACE CareOG Display+Touch Screen Combo Folder
OPPO,F5 Frame,1,Not Specified,With Frame,f5,NOT LISTED,,,,,,,
OPPO,F5 Incell,1,Incell LCD,Standard,f5,INACTIVE,F5B,0,2184,LCD,Standard,OPPO,Compatible for Oppo F5 (Black) LCD Display+Touch Screen Combo Folder
ONEPLUS,OnePlus 8 CareOG,2,Not Specified,CareOG,8,INACTIVE,1+8CARE,0,6412,Not Specified,CareOG,ONEPLUS,Compatible for OnePlus 8 (Fingerprint Support) CareOG Display+Touch Screen Combo
ONEPLUS,OnePlus 10 Pro CareOG,1,Not Specified,CareOG,10pro,INACTIVE,1+10PROCARE,0,18488,Not Specified,CareOG,ONEPLUS,Compatible for OnePlus 10 Pro (Fingerprint Support) CareOG Display+Touch Screen 
ONEPLUS,OnePlus 7 CareOG,1,Not Specified,CareOG,7,INACTIVE,1+7CARE,0,4889,Not Specified,CareOG,ONEPLUS,Compatible for OnePlus 7 (Fingerprint Support) CareOG Display+Touch Screen Combo
ONEPLUS,OnePlus 7 Incell,1,Incell LCD,Standard,7,ACTIVE,1+7TLCD,100,2850,LCD,Standard,ONEPLUS,Compatible for OnePlus 7T (No Fingerprint Support) LCD Display+Touch Screen Comb
ONEPLUS,OnePlus 8 Pro Incell,1,Incell LCD,Standard,8pro,INACTIVE,1+8ProLCD,0,4048,LCD,Standard,ONEPLUS,Compatible for OnePlus 8 Pro LCD (No Fingerprint Support) Display+Touch Screen C
ONEPLUS,OnePlus 10R Incell,1,Incell LCD,Standard,10r,ACTIVE,1+10RLCD,97,2428,LCD,Standard,ONEPLUS,Compatible for OnePlus 10R LCD (No Fingerprint Support) Display+Touch Screen Com
ONEPLUS,OnePlus 11R CareOG,1,Not Specified,CareOG,11r,INACTIVE,1+11RCARE,0,6748,Not Specified,CareOG,ONEPLUS,Compatible for OnePlus 11R (Fingerprint Support) CareOG Display+Touch Screen Com
ONEPLUS,OnePlus Nord CareOG,1,Not Specified,CareOG,nord,INACTIVE,CE2LYTCARE,0,2789,Not Specified,CareOG,ONEPLUS,Compatible for OnePlus Nord CE 2 Lite CareOG Display+Touch Screen Combo Folder
ONEPLUS,OnePlus 9RT Incell,1,Incell LCD,Standard,9rt,ACTIVE,1+9RtLCD,2,2498,LCD,Standard,ONEPLUS,Compatible for OnePlus 9Rt LCD (No Fingerprint Support) Display+Touch Screen Com
ONEPLUS,OnePlus 9 CareOG,1,Not Specified,CareOG,9,INACTIVE,1+9CARE,0,8746,Not Specified,CareOG,ONEPLUS,Compatible for OnePlus 9 (Fingerprint Support) CareOG Display+Touch Screen Combo
