Brand,Stock Item,Qty,Stock Screen,Stock Quality,Issue
Realme,Realme C67 Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Realme,Realme C30 Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Realme,Realme C53 Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Realme,Realme 13 Pro CareOG,1,Not Specified,CareOG,No exact match (model+screen+quality)
Realme,Realme 3 Pro Frame,1,Not Specified,With Frame,No exact match (model+screen+quality)
Vivo,Vivo X70 Pro Plus CareOG,1,Not Specified,CareOG,No exact match (model+screen+quality)
Oppo,F17 Pro OLED,1,OLED,Standard,No exact match (model+screen+quality)
Oppo,A53 CareOG,2,Not Specified,CareOG,No exact match (model+screen+quality)
Oppo,A57 5G CareOG,3,Not Specified,CareOG,No exact match (model+screen+quality)
Oppo,F19 OLED,1,OLED,Standard,No exact match (model+screen+quality)
Oppo,A54 5G Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Oppo,F27 OLED,1,OLED,Standard,No exact match (model+screen+quality)
Oppo,F9 Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Oppo,Reno 10 Pro Plus CareOG,2,Not Specified,CareOG,No exact match (model+screen+quality)
Oppo,F5 Frame,1,Not Specified,With Frame,No exact match (model+screen+quality)
Oppo,F5 Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
OnePlus,OnePlus Nord CareOG,1,Not Specified,CareOG,No exact match (model+screen+quality)
OnePlus,OnePlus 9RT Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Apple,iPhone 13 Pro OLED,1,OLED,Standard,No exact match (model+screen+quality)
Apple,iPhone 13 Pro Max OLED,1,OLED,Standard,No exact match (model+screen+quality)
Apple,iPhone 11 Pro Max OLED,1,OLED,Standard,No exact match (model+screen+quality)
Apple,iPhone 8 Plus Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Apple,iPhone XS Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Samsung,Galaxy A73 OLED,1,OLED,Standard,No exact match (model+screen+quality)
Samsung,Galaxy A32 4G Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Samsung,Galaxy A32 4G Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Samsung,Galaxy S21 FE OLED,1,OLED,Standard,No exact match (model+screen+quality)
Samsung,Galaxy S20 FE With Frame OLED,1,OLED,With Frame,No exact match (model+screen+quality)
Samsung,Galaxy J7 Next Incell,3,Incell LCD,Standard,No exact match (model+screen+quality)
Samsung,Galaxy J7 2016 Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Samsung,Galaxy J7 2015 Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Samsung,Galaxy J7 Max Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
XIAOMI/REDMI/POCO,Redmi Note 5 With Frame White,1,Not Specified,With Frame,No exact match (model+screen+quality)
XIAOMI/REDMI/POCO,11X OLED,1,OLED,Standard,No exact match (model+screen+quality)
XIAOMI/REDMI/POCO,11X Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
XIAOMI/REDMI/POCO,Redmi 4A With Frame Incell Black,1,Incell LCD,With Frame,No exact match (model+screen+quality)
XIAOMI/REDMI/POCO,A3 Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
XIAOMI/REDMI/POCO,Redmi Note 10T With Frame,1,Not Specified,With Frame,No exact match (model+screen+quality)
XIAOMI/REDMI/POCO,K20 Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
XIAOMI/REDMI/POCO,Redmi 12 With Frame,1,Not Specified,With Frame,No exact match (model+screen+quality)
XIAOMI/REDMI/POCO,Redmi 12 5G With Frame,1,Not Specified,With Frame,No exact match (model+screen+quality)
XIAOMI/REDMI/POCO,Redmi 13 Pro Plus With Frame,1,Not Specified,With Frame,No exact match (model+screen+quality)
XIAOMI/REDMI/POCO,Redmi 10 Power Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
XIAOMI/REDMI/POCO,Redmi Note 6 Pro Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
XIAOMI/REDMI/POCO,Redmi Note 7 Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
XIAOMI/REDMI/POCO,Poco X3 Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
XIAOMI/REDMI/POCO,Poco M4 Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Mixed,Nothing Phone 1 CareOG,1,Not Specified,CareOG,No exact match (model+screen+quality)
Mixed,Infinix Note 10 Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Mixed,Infinix Hot 9 Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Mixed,Infinix Note 11S Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Mixed,Honor 7X Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Mixed,Honor 7X White Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Mixed,Honor 8C Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Mixed,Honor 8X Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Mixed,Honor X9B Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Mixed,Nokia G10 Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Mixed,Nokia G20 Incell,2,Incell LCD,Standard,No exact match (model+screen+quality)
Mixed,Nokia G21 Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Mixed,Nokia C3 Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Mixed,Moto G9 Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Mixed,Moto Edge 50 Fusion Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Mixed,Moto G34 Frame,1,Not Specified,With Frame,No exact match (model+screen+quality)
Mixed,Asus Zenfone Max M2 Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
Mixed,Asus ROG Phone 2 Incell,1,Incell LCD,Standard,No exact match (model+screen+quality)
